project,bechmarks
12306,21
aiohttp,323
airflow,146
albumentations,41
allennlp,75
allura,309
androguard,120
angr,408
anki,403
ansible,181
apprise,14
ArchiveBox,72
astroquery,92
asyncpg,33
calibre,684
cerbero,24
certbot,502
ChatterBot,88
cherrypy,409
dagster,1226
darkflow,27
dash,55
dask,373
datasette,69
deap,119
DeepFaceLab,94
DeepSpeed,14
deis,55
deluge,359
deoplete.nvim,37
dirsearch,53
discord.py,141
django,481
django-cms,384
django-haystack,143
django-oscar,185
django-rest-framework,220
django-tastypie,69
docker-py,59
docutils,77
dvc,439
easytrader,28
edgedb,1895
eht-imaging,94
elastalert,16
elasticsearch-dsl-py,49
electrum,489
espnet,332
explainshell,6
fabric,34
faceswap,47
fail2ban,135
fairseq,116
faker,29
falcon,171
faust,365
featuretools,46
flair,64
flask,100
flask-admin,117
Flask-AppBuilder,114
flocker,355
flower,29
folium,34
formspree,27
freqtrade,331
gajim,683
gallery-dl,82
GamestonkTerminal,50
gensim,244
ggpy,16
glance,125
glances,132
gmvault,30
gpodder,203
gradio,90
gramps,2254
graphene-django,23
great_expectations,419
guake,38
gunicorn,130
gym,17
home-assistant,272
horizon,147
httpie,84
httpx,124
huey,76
hug,71
hy,65
hyperopt,54
hypothesis,425
igbot,94
ignite,24
imgaug,147
impacket,103
invoke,109
ipython,535
isort,93
jax,347
jsonschema,17
kafka-python,113
KaraKara,60
keras,193
keras-retinanet,40
keras-rl,15
kinto,268
kitty,219
kivy,111
koalas,131
kornia,75
kube-hunter,43
label-studio,15
lbry-sdk,299
lektor,12
libcloud,220
linkchecker,184
livestreamer,32
localstack,240
loguru,26
luigi,81
lutris,458
magic-wormhole,114
Mailpile,169
manim,234
matplotlib,731
meshroom,55
mindsdb,279
mininet,52
mitmproxy,759
mkdocs,29
mlflow,144
ML-From-Scratch,63
mmf,37
mongoengine,111
mongo-python-driver,398
monkey,94
mopidy,360
moto,233
moviepy,65
mwlib,98
mycli,37
mycroft-core,42
mypaint,195
mypy,798
nameko,197
neon,27
netbox,623
networkx,77
newspaper,44
nltk,229
nni,18
nose,73
nova,1712
numba,913
numpy,446
ODM,78
offlineimap,50
OneForAll,42
onionshare,173
openage,128
OpenNMT-py,155
oppia,1069
optuna,273
package_control,45
Paddle,152
pandas,1193
paramiko,116
ParlAI,142
PathPicker,21
pdfminer,34
peewee,104
pendulum,21
persepolis,61
pgcli,57
picard,256
Pillow,83
pip,223
pitivi,351
pitivi-pitivi,351
plasma,56
platformio-core,300
playwright-python,220
poetry,95
PokemonGo-Bot,78
poky,36
powerline,70
prefect,450
pritunl,284
prophet,10
psutil,76
pwntools,96
py12306,34
pyalgotrade,40
pydantic,175
pyecharts,325
PyGithub,340
pygments-main,155
pyinstrument,17
pylint,197
pymc3,441
PyMySQL,25
pyod,90
pyppeteer,42
pyramid,345
pyro,323
PySimpleGUI,9
pyspider,67
pytest,1045
pytext,54
python-for-android,42
python-prompt-toolkit,178
python-telegram-bot,230
pytorch,186
pytorch_geometric,132
pytorch-image-models,26
pytorch-lightning,533
pytorch-metric-learning,89
pytube,37
pytype,231
pywikibot,222
qqbot,29
QUANTAXIS,263
qutebrowser,1123
ranger,211
rasa,1184
ray,447
recommenders,126
responder,12
reviewboard,209
rich,126
RocAlphaGo,38
rqalpha,251
rtv,43
sacred,154
sage,865
scalene,16
scapy,93
scikit-image,196
scikit-learn,828
scipy,489
seaborn,64
sentry,582
serenata-de-amor,23
skorch,37
sktime,143
snips-nlu,163
spaCy,183
sphinx,503
spiderfoot,108
splash,81
spyder,808
sqlalchemy,1733
sqlmap,836
statsmodels,246
Stream-Framework,120
streamlink,50
streamlit,279
superset,246
supervisor,110
synapse,643
sync-engine,212
taiga-back,149
Telethon,191
tensor2tensor,290
tensorboardX,9
tensorlayer,283
tensorpack,709
tensortrade,113
textual,78
Theano,582
thefuck,59
thumbor,97
tianshou,242
toolz,27
tornado,220
tpot,41
tqdm,43
tribler,1196
tvm,71
twisted,651
urh,287
urllib3,107
visidata,255
volatility,48
voltron,18
vyper,196
wagtail,186
wal-e,15
walle-web,23
WeasyPrint,159
websockets,112
werkzeug,223
wfuzz,89
wxpy,33
xadmin,26
xonsh,252
yolov5,19
YouCompleteMe,60
YYeTsBot,11
zipline,268
zulip,627
