Id,FileCount,UnstableInterface
1,197,django/db/models/fields/__init__.py
2,175,django/db/models/query.py
3,173,django/db/models/fields/related.py
4,165,django/db/models/base.py
5,158,django/db/models/sql/query.py
6,156,django/contrib/admin/options.py
7,133,django/forms/widgets.py
8,128,django/db/models/options.py
9,123,django/template/base.py
10,120,django/utils/html.py
11,117,django/db/backends/__init__.py
12,104,django/core/management/__init__.py
13,92,django/utils/text.py
14,91,django/core/management/base.py
15,91,django/db/models/expressions.py
16,88,django/utils/http.py
17,85,django/db/utils.py
18,81,django/conf/__init__.py
19,80,django/utils/functional.py
20,78,django/http/request.py
21,77,django/http/__init__.py
22,76,django/utils/encoding.py
23,72,django/db/models/__init__.py
24,65,django/db/models/query_utils.py
25,59,django/contrib/auth/__init__.py
26,58,django/db/models/manager.py
27,53,django/db/__init__.py
28,52,django/template/__init__.py
29,52,django/contrib/gis/db/models/fields.py
30,44,django/contrib/gis/geos/libgeos.py
31,44,django/utils/timezone.py
32,41,django/utils/translation/__init__.py
33,41,django/contrib/gis/geos/geometry.py
34,41,django/apps/registry.py
35,37,django/db/models/lookups.py
36,36,django/core/exceptions.py
37,31,django/utils/module_loading.py
38,22,django/contrib/gis/gdal/__init__.py
39,18,django/__init__.py
40,16,django/forms/__init__.py
41,14,django/apps/__init__.py
42,11,django/contrib/gis/gdal/error.py

