id,filename,deptype,deptypenum,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
0,config/serverchanConf.py,exp;exp-imp,5;1,1,1,36,0,0,0
14,config/urlConf.py,exp,17,7,41,1132,1,1,72
31,myUrllib/httpUtils.py,exp-imp;imp;exp,6;24;3,3,42,747,1,1,2
49,TickerConfig.py,exp,23,5,44,823,0,0,0
2,config/logger.py,exp,2,1,2,61,0,0,0
26,config/configCommon.py,exp;imp,5;1,5,15,219,0,0,0
3,init/login.py,exp;imp;exp-imp,6;1;1,3,39,1418,2,2,75
8,myException/UserPasswordException.py,exp,2,1,2,2,0,0,0
9,inter/LoginConf.py,exp;imp,2;1,1,1,22,0,0,0
22,inter/GetRandCode.py,exp;exp-imp,5;2,6,24,270,1,1,3
30,inter/LoginAysnSuggest.py,exp;imp,2;1,1,1,20,0,0,0
42,inter/GetPassCodeNewOrderAndLogin.py,exp;imp,1;1,3,14,114,1,1,39
5,inter/CheckOrderInfo.py,imp;exp-imp,1;3,2,4,86,0,0,0
40,inter/GetRepeatSubmitToken.py,exp-imp;imp,1;1,1,1,36,0,0,0
45,inter/GetQueueCount.py,exp-imp;exp;imp,3;6;1,4,10,217,0,0,0
13,inter/GetQueueCountAsync.py,exp-imp;imp;exp,2;1;1,3,8,222,0,0,0
19,inter/ConfirmSingleForQueueAsys.py,exp-imp;imp,2;1,1,2,92,0,0,0
18,inter/GetPassengerDTOs.py,exp;imp;exp-imp,3;1;2,5,14,207,0,0,0
4,config/TicketEnmu.py,exp,7,2,5,49,0,0,0
12,myException/PassengerUserException.py,exp,2,1,1,0,0,0,0
55,inter/QueryOrderWaitTime.py,exp-imp;exp;imp,2;5;1,4,7,143,0,0,0
20,inter/LiftTicketInit.py,imp;exp-imp;exp,2;1;1,2,2,28,0,0,0
21,init/select_ticket_info.py,imp;exp-imp;exp,6;5;15,7,136,5097,1,1,2
23,myException/ticketConfigException.py,exp,3,1,1,0,0,0,0
24,config/getCookie.py,exp;imp,3;2,3,9,233,1,1,2
27,agency/cdn_utils.py,exp;exp-imp,2;1,4,20,457,0,0,0
38,inter/ChechFace.py,exp;imp;exp-imp,4;1;1,2,7,88,0,0,0
41,myException/ticketNumOutException.py,exp,2,1,2,2,0,0,0
48,inter/CheckUser.py,exp;imp,3;2,3,11,103,0,0,0
50,inter/SubmitOrderRequest.py,exp;exp-imp;imp,6;2;1,3,8,135,0,0,0
56,inter/Query.py,exp-imp;exp;imp,2;4;1,6,44,769,1,1,27
58,inter/AutoSubmitOrderRequest.py,exp-imp;exp;imp,2;4;1,3,9,210,0,0,0
59,myException/ticketIsExitsException.py,exp,4,1,1,0,0,0,0
53,verify/localVerifyCode.py,exp-imp;exp,1;3,2,6,221,0,0,0
25,verify/mlearn_for_image.py,exp,2,2,2,112,0,0,0
28,inter/PassengerInitApi.py,exp;imp;exp-imp,3;1;1,1,2,37,0,0,0
57,inter/ConfirmHB.py,exp;imp;exp-imp,4;1;1,2,3,52,0,0,0
36,agency/agency_tools.py,exp-imp,2,1,8,100,0,0,0
32,config/emailConf.py,exp,4,3,10,195,0,0,0
34,verify/pretreatment.py,exp,2,2,2,118,0,0,0
37,inter/CheckRandCodeAnsyn.py,imp;exp,1;2,1,1,27,0,0,0
47,inter/GetSuccessRate.py,exp-imp;exp;imp,1;3;1,1,1,41,0,0,0
39,myUrllib/MySocketUtils.py,exp;imp,1;1,1,2,204,1,1,2
43,inter/ConfirmSingleForQueue.py,exp-imp;exp;imp,3;2;1,3,4,102,0,0,0
46,UnitTest/TestAll.py,exp;exp-imp,4;1,6,16,177,1,1,2
52,config/pushbearConf.py,exp;exp-imp,2;1,3,7,66,0,0,0
